code,name,price,change,jinge,jingzhanbi
000651,格力电器,47.83,9.45,137427,8.21
600606,绿地控股,9.61,31.64,106410,6.05
600340,华夏幸福,37.90,20.74,100199,9.19
002920,德赛西威,47.99,22.64,90312,11.66
000002,万科A,35.99,15.87,78652,6.55
601688,华泰证券,19.80,14.72,71696,11.44
603799,华友钴业,94.18,17.39,71512,7.27
001979,招商蛇口,22.13,13.14,55206,8.57
600028,中国石化,7.05,15.01,53810,4.23
600030,中信证券,19.54,7.96,53594,3.43
600585,海螺水泥,33.97,15.82,46069,3.66
000776,广发证券,17.77,6.53,42717,12.44
000672,上峰水泥,13.19,35.70,39972,7.00
000333,美的集团,57.66,4.02,37544,3.46
002856,美芝股份,47.68,6.93,36944,14.19
002304,洋河股份,126.32,9.84,34140,10.89
601668,中国建筑,9.52,5.54,33791,3.32
600519,贵州茅台,752.13,7.83,31810,1.64
002092,中泰化学,15.17,13.97,31400,6.78
000587,金洲慈航,7.21,3.00,30984,17.99
300618,寒锐钴业,288.96,22.56,29884,5.48
600031,三一重工,9.88,8.93,29055,3.38
002146,荣盛发展,10.91,14.48,28220,3.34
002415,海康威视,40.80,4.62,26862,3.56
000858,五粮液,82.20,2.90,26831,2.22
000069,华侨城A,9.49,11.78,25784,5.44
601699,潞安环能,12.82,12.65,25710,4.29
000830,鲁西化工,18.68,17.34,24008,3.98
600497,驰宏锌锗,7.67,8.03,21704,5.65
002078,太阳纸业,10.07,8.51,21578,9.15
000568,泸州老窖,68.45,3.71,21127,5.13
600823,世茂股份,6.15,24.49,21059,9.22
600436,片仔癀,69.08,9.30,20636,10.65
603619,中曼石油,45.66,31.28,20615,7.17
601888,中国国旅,46.47,7.10,20426,7.66
000488,晨鸣纸业,18.20,9.18,20015,6.68
000983,西山煤电,10.84,6.90,19893,5.43
600837,海通证券,13.52,5.05,19791,11.00
601211,国泰君安,19.46,5.08,19560,7.06
600999,招商证券,18.55,8.10,18945,8.53
601169,北京银行,7.23,1.12,18573,9.92
000059,华锦股份,10.88,14.17,18450,6.49
601636,旗滨集团,7.54,20.83,17903,3.91
300675,建科院,39.60,40.38,17568,9.03
002007,华兰生物,28.47,5.92,17514,13.09
002915,中欣氟材,38.79,10.23,17206,5.84
002447,壹桥股份,6.75,28.08,17075,15.38
600325,华发股份,8.41,14.27,16684,4.93
002466,天齐锂业,58.10,9.19,16611,2.62
601117,中国化学,7.29,8.00,15600,9.77
300072,三聚环保,37.94,8.00,15490,5.68
600690,青岛海尔,19.83,5.25,15293,2.54
002496,辉丰股份,6.04,14.61,14879,16.19
002001,新和成,41.35,8.64,14481,2.59
600596,新安股份,11.62,26.58,14457,9.01
601128,常熟银行,7.84,9.96,14090,8.21
300027,华谊兄弟,9.78,12.03,13903,4.74
600093,易见股份,12.73,18.75,13880,14.17
600688,上海石化,7.04,11.22,13863,5.83
600985,雷鸣科化,16.31,25.65,13788,10.84
002110,三钢闽光,24.64,27.40,13379,2.16
002648,卫星石化,19.01,14.52,13184,7.78
002709,天赐材料,49.92,8.55,13042,9.51
000932,*ST华菱,9.19,13.32,12529,4.91
002714,牧原股份,59.21,12.01,12510,6.22
600958,东方证券,14.35,3.54,12418,7.67
603477,振静股份,18.39,-2.90,11945,4.42
000060,中金岭南,11.55,3.40,11936,4.29
300431,暴风集团,25.87,18.67,11932,4.34
000690,宝新能源,9.06,13.25,11843,9.99
600740,山西焦化,11.09,13.39,11663,2.97
002353,杰瑞股份,14.85,13.19,11616,9.13
000937,冀中能源,6.31,8.42,11564,7.83
300408,三环集团,21.58,7.04,11542,6.59
600362,江西铜业,20.82,3.22,11432,1.74
000538,云南白药,103.90,2.07,11294,5.51
000998,隆平高科,27.23,5.87,11262,7.15
603444,吉比特,208.72,13.48,11101,12.21
300450,先导智能,63.50,11.46,10874,8.66
000961,中南建设,7.32,14.20,10868,4.09
600466,蓝光发展,-,-,10720,10.21
000667,美好置业,3.35,10.20,10292,9.44
000876,新希望,7.90,6.04,10289,8.55
600050,中国联通,6.83,7.90,10152,1.33
000823,超声电子,15.10,11.44,10132,9.53
002572,索菲亚,39.35,6.93,9847,5.20
600008,首创股份,5.66,10.12,9648,2.40
000877,天山股份,11.55,11.06,9615,3.47
603225,新凤鸣,41.28,15.31,9520,4.19
300017,网宿科技,11.32,6.39,9479,2.48
600345,长江通信,31.84,14.41,9417,4.24
000596,古井贡酒,68.54,4.37,9408,7.70
300498,温氏股份,26.95,12.76,9407,4.23
000338,潍柴动力,8.93,7.07,9146,2.37
000525,红太阳,23.00,14.03,9127,8.52
601088,中国神华,25.08,8.24,9109,1.37
000423,东阿阿胶,62.78,4.16,9095,4.59
002601,龙蟒佰利,17.39,8.55,9092,3.99
000786,北新建材,25.61,13.82,9017,1.38
000718,苏宁环球,5.45,25.87,8892,8.57
600438,通威股份,12.62,4.21,8863,3.46
002465,海格通信,10.34,7.82,8755,5.53
600160,巨化股份,11.42,7.43,8482,4.33
002427,尤夫股份,33.75,5.47,8439,10.93
000807,云铝股份,10.94,6.94,8433,1.28
601333,广深铁路,5.78,3.77,8339,3.10
601998,中信银行,6.54,5.48,8236,5.99
002177,御银股份,5.56,11.42,8199,14.04
300176,鸿特精密,135.45,4.11,8191,10.84
601633,长城汽车,12.80,11.40,8150,6.80
600346,恒力股份,14.66,18.90,8107,4.82
300131,英唐智控,7.27,5.98,8015,12.85
000630,铜陵有色,2.97,1.71,8002,5.12
601233,桐昆股份,28.23,25.52,7955,1.97
002419,天虹股份,15.76,3.28,7950,9.31
600887,伊利股份,33.56,4.26,7909,0.76
002081,金螳螂,16.50,7.70,7868,3.31
300170,汉得信息,12.44,4.54,7552,7.00
600122,宏图高科,9.63,-0.62,7431,8.08
002422,科伦药业,26.66,7.07,7307,5.88
300409,道氏技术,58.44,28.55,7270,3.46
600507,方大特钢,15.13,19.23,7257,1.51
600068,葛洲坝,8.83,7.68,7202,2.56
000656,金科股份,5.19,4.85,7179,5.35
002321,华英农业,12.05,-2.74,7157,5.46
601966,玲珑轮胎,18.23,4.41,7104,11.81
300107,建新股份,6.20,17.87,7081,11.19
000517,荣安地产,4.19,23.96,7034,19.27
002916,深南电路,99.00,13.49,7024,0.84
600754,锦江股份,34.15,5.76,6960,6.39
002919,名臣健康,41.85,-,6952,5.09
600720,祁连山,11.73,13.33,6934,1.73
002002,鸿达兴业,7.50,9.65,6848,12.12
600655,豫园股份,11.38,5.96,6813,9.71
002233,塔牌集团,12.71,6.72,6755,3.58
600856,中天能源,11.72,0.26,6747,4.85
600708,光明地产,7.56,10.36,6598,9.07
000895,双汇发展,27.60,4.15,6595,3.31
002907,华森制药,26.51,40.71,6591,3.27
